feature_code,name,type,date_code,smokes,type_of_tenure,household_type,sex,long_term_condition,age,sm_lower_ci,sm_upper_ci,sm_percent
S08000020,Grampian,NHS Health Board,2017,No,All,Pensioners,All,All,All,85.5,90.8,88.1
S12000048,Perth and Kinross,Local Authority,2018,Yes,All,Pensioners,All,All,All,4.3,12.8,8.5
S92000003,Scotland,Scotland,2016,No,All,Pensioners,All,All,All,86,87.9,87
S08000029,Fife,NHS Health Board,2017,Yes,All,Pensioners,All,All,All,8.4,15.3,11.8
S12000039,West Dunbartonshire,Local Authority,2018,Yes,All,Pensioners,All,All,All,4.7,14.7,9.7
S12000038,Renfrewshire,Local Authority,2018,Yes,All,Pensioners,All,All,All,9.3,18.8,14.1
S12000018,Inverclyde,Local Authority,2014,No,All,Pensioners,All,All,All,78.1,90.9,84.5
S08000025,Orkney,NHS Health Board,2012,No,All,Pensioners,All,All,All,82.2,93.4,87.8
S12000005,Clackmannanshire,Local Authority,2018,No,All,Pensioners,All,All,All,78,93,85.5
S12000034,Aberdeenshire,Local Authority,2013,No,All,Adults,All,All,All,67.8,81.5,74.6
S12000030,Stirling,Local Authority,2012,No,All,Adults,All,All,All,66.6,82.9,74.8
S12000036,City of Edinburgh,Local Authority,2016,No,All,Adults,All,All,All,74.6,81.1,77.8
S12000039,West Dunbartonshire,Local Authority,2015,No,All,Adults,All,All,All,62.7,75.4,69
S12000041,Angus,Local Authority,2019,No,All,Adults,All,All,All,66.3,82.8,74.6
S12000036,City of Edinburgh,Local Authority,2018,Yes,All,Pensioners,All,All,All,9.1,15.9,12.5
S08000028,Western Isles,NHS Health Board,2015,No,All,Pensioners,All,All,All,70.1,86.5,78.3
S12000018,Inverclyde,Local Authority,2017,No,All,Adults,All,All,All,78,90,84
S08000017,Dumfries and Galloway,NHS Health Board,2016,No,All,Adults,All,All,All,60.9,76.1,68.5
S12000023,Orkney Islands,Local Authority,2017,No,All,Adults,All,All,All,61.1,83.8,72.5
S12000011,East Renfrewshire,Local Authority,2017,No,All,Adults,All,All,All,73.4,93.9,83.7
S12000026,Scottish Borders,Local Authority,2017,No,All,Adults,All,All,All,68.5,85.1,76.8
S12000027,Shetland Islands,Local Authority,2017,No,All,Adults,All,All,All,57.3,79.4,68.3
S08000019,Forth Valley,NHS Health Board,2016,No,All,Adults,All,All,All,75.8,84.4,80.1
S12000036,City of Edinburgh,Local Authority,2015,No,All,Adults,All,All,All,76.6,83.4,80
S12000038,Renfrewshire,Local Authority,2018,No,All,Adults,All,All,All,73.9,84.6,79.3
S08000022,Highland,NHS Health Board,2012,No,All,Adults,All,All,All,67.1,77.4,72.3
S08000028,Western Isles,NHS Health Board,2012,No,All,Adults,All,All,All,64.2,80.4,72.3
S08000022,Highland,NHS Health Board,2013,No,All,Adults,All,All,All,68.6,79.4,74
S08000024,Lothian,NHS Health Board,2013,No,All,Adults,All,All,All,74.9,80.2,77.6
S12000019,Midlothian,Local Authority,2018,Yes,All,Adults,All,All,All,12.8,27.5,20.2
S08000029,Fife,NHS Health Board,2014,No,All,Adults,All,All,All,72,81.2,76.6
S08000017,Dumfries and Galloway,NHS Health Board,2013,No,All,Adults,All,All,All,73.8,83.9,78.9
S12000035,Argyll and Bute,Local Authority,2018,No,All,Adults,All,All,All,67.8,83,75.4
S12000034,Aberdeenshire,Local Authority,2012,No,All,Adults,All,All,All,67.7,79.8,73.8
S12000034,Aberdeenshire,Local Authority,2018,No,All,Adults,All,All,All,72.9,84.8,78.9
S12000033,Aberdeen City,Local Authority,2015,Yes,All,Adults,All,All,All,19.7,29.6,24.7
S08000026,Shetland,NHS Health Board,2013,No,All,Adults,All,All,All,66.2,86.4,76.3
S12000027,Shetland Islands,Local Authority,2012,No,All,Adults,All,All,All,64.7,81.8,73.2
S12000019,Midlothian,Local Authority,2015,No,All,Adults,All,All,All,63.8,84.2,74
S08000030,Tayside,NHS Health Board,2015,No,All,Adults,All,All,All,69.4,78.3,73.8
S08000015,Ayrshire and Arran,NHS Health Board,2016,No,All,Adults,All,All,All,70.5,79,74.7
S12000010,East Lothian,Local Authority,2017,No,All,Adults,All,All,All,68.8,83.9,76.3
S12000042,Dundee City,Local Authority,2013,No,All,Adults,All,All,All,66.2,77.7,71.9
S12000042,Dundee City,Local Authority,2016,No,All,Adults,All,All,All,68.1,80.5,74.3
S12000014,Falkirk,Local Authority,2015,No,All,Adults,All,All,All,79.1,89.2,84.2
S12000034,Aberdeenshire,Local Authority,2016,No,All,Adults,All,All,All,77.2,86.9,82
S08000029,Fife,NHS Health Board,2012,No,All,Adults,All,All,All,65.4,74.9,70.1
S12000033,Aberdeen City,Local Authority,2018,No,All,Adults,All,All,All,79.3,87.6,83.5
S08000031,Greater Glasgow and Clyde,NHS Health Board,2015,No,All,Adults,All,All,All,70.5,75.2,72.8
S12000017,Highland,Local Authority,2012,No,All,Adults,All,All,All,71.4,82.1,76.7
S12000019,Midlothian,Local Authority,2016,No,All,Adults,All,All,All,75.3,89.6,82.5
S12000030,Stirling,Local Authority,2017,No,All,Adults,All,All,All,74.6,88.4,81.5
S08000026,Shetland,NHS Health Board,2014,No,All,Adults,All,All,All,64.7,84.8,74.8
S08000016,Borders,NHS Health Board,2017,No,All,Adults,All,All,All,68.5,85.1,76.8
S08000026,Shetland,NHS Health Board,2018,Yes,All,Adults,All,All,All,5.5,15.5,10.5
S12000038,Renfrewshire,Local Authority,2015,No,All,Adults,All,All,All,67.1,79.2,73.2
S12000018,Inverclyde,Local Authority,2015,No,All,Adults,All,All,All,61.9,77,69.4
S12000038,Renfrewshire,Local Authority,2012,No,All,Adults,All,All,All,55.5,68.5,62
S12000027,Shetland Islands,Local Authority,2015,No,All,Adults,All,All,All,73.3,87.5,80.4
S12000010,East Lothian,Local Authority,2016,No,All,Adults,All,All,All,66.4,84.5,75.5
S12000033,Aberdeen City,Local Authority,2016,No,All,Adults,All,All,All,74.4,83.8,79.1
S12000040,West Lothian,Local Authority,2014,No,All,Adults,All,All,All,68.7,84,76.3
S08000030,Tayside,NHS Health Board,2012,No,All,Adults,All,All,All,68.1,76.9,72.5
S08000024,Lothian,NHS Health Board,2016,No,All,Adults,All,All,All,74.8,80.3,77.5
S12000010,East Lothian,Local Authority,2012,No,All,Adults,All,All,All,59.7,84,71.8
S12000048,Perth and Kinross,Local Authority,2015,No,All,Adults,All,All,All,69.3,85.5,77.4
S12000026,Scottish Borders,Local Authority,2012,No,All,Adults,All,All,All,66.1,81.3,73.7
S12000030,Stirling,Local Authority,2013,No,All,Adults,All,All,All,71.6,85.2,78.4
S08000030,Tayside,NHS Health Board,2014,No,All,Adults,All,All,All,70.3,78.5,74.4
S12000013,Na h-Eileanan Siar,Local Authority,2016,No,All,Adults,All,All,All,61.7,80.7,71.2
S08000030,Tayside,NHS Health Board,2013,No,All,Adults,All,All,All,68.4,77.1,72.8
S12000050,North Lanarkshire,Local Authority,2012,No,All,Adults,All,All,All,60.9,72.1,66.5
S12000045,East Dunbartonshire,Local Authority,2013,No,All,Adults,All,All,All,76.1,92.9,84.5
S08000026,Shetland,NHS Health Board,2016,No,All,Adults,All,All,All,59.8,81,70.4
S08000020,Grampian,NHS Health Board,2017,No,All,Adults,All,All,All,77.2,83.6,80.4
S08000025,Orkney,NHS Health Board,2013,No,All,Adults,All,All,All,63.6,86.1,74.8
S08000019,Forth Valley,NHS Health Board,2018,No,All,Adults,All,All,All,79.1,86.9,83
S12000042,Dundee City,Local Authority,2015,No,All,Adults,All,All,All,62.9,76.7,69.8
S92000003,Scotland,Scotland,2015,No,All,Adults,All,All,All,74.2,76.4,75.3
S12000021,North Ayrshire,Local Authority,2015,No,All,Adults,All,All,All,62.3,77.1,69.7
S08000020,Grampian,NHS Health Board,2018,No,All,Adults,All,All,All,77,83.6,80.3
S12000047,Fife,Local Authority,2018,Yes,All,Adults,All,All,All,21.8,32.1,26.9
S08000032,Lanarkshire,NHS Health Board,2018,No,All,Adults,All,All,All,72.5,79.4,75.9
S12000040,West Lothian,Local Authority,2012,No,All,Adults,All,All,All,63.4,77.9,70.6
S12000036,City of Edinburgh,Local Authority,2018,No,All,Adults,All,All,All,79.6,85.2,82.4
S08000015,Ayrshire and Arran,NHS Health Board,2012,No,All,Adults,All,All,All,67.1,76.7,71.9
S08000031,Greater Glasgow and Clyde,NHS Health Board,2017,No,All,Adults,All,All,All,75.4,80,77.7
S12000020,Moray,Local Authority,2014,No,All,Adults,All,All,All,71.3,84.3,77.8
S12000014,Falkirk,Local Authority,2016,No,All,Adults,All,All,All,73.2,86,79.6
S12000018,Inverclyde,Local Authority,2019,Yes,All,Adults,All,All,All,14.3,25.5,19.9
S12000038,Renfrewshire,Local Authority,2014,No,All,Adults,All,All,All,65.5,81,73.2
S12000045,East Dunbartonshire,Local Authority,2015,No,All,Adults,All,All,All,67.2,85.2,76.2
S12000029,South Lanarkshire,Local Authority,2012,No,All,Adults,All,All,All,68.5,79,73.8
S08000024,Lothian,NHS Health Board,2014,No,All,Adults,All,All,All,74.9,80.8,77.8
S12000023,Orkney Islands,Local Authority,2013,No,All,Adults,All,All,All,63.6,86.1,74.8
S12000041,Angus,Local Authority,2013,No,All,Adults,All,All,All,65.6,81.4,73.5
S12000042,Dundee City,Local Authority,2014,No,All,Adults,All,All,All,62.9,76.6,69.7
S08000032,Lanarkshire,NHS Health Board,2016,No,All,Adults,All,All,All,74.3,81.3,77.8
S12000013,Na h-Eileanan Siar,Local Authority,2012,No,All,Adults,All,All,All,64.2,80.4,72.3
S12000035,Argyll and Bute,Local Authority,2018,Yes,All,Adults,All,All,All,17,32.2,24.6
S08000016,Borders,NHS Health Board,2013,No,All,Adults,All,All,All,55.6,72.9,64.2
S12000005,Clackmannanshire,Local Authority,2015,No,All,Adults,All,All,All,70,87.9,79
S08000028,Western Isles,NHS Health Board,2018,Yes,All,Adults,All,All,All,13.9,31.5,22.7
S12000047,Fife,Local Authority,2017,No,All,Adults,All,All,All,72.6,82.9,77.8
S12000008,East Ayrshire,Local Authority,2015,No,All,Adults,All,All,All,70.6,83.7,77.2
S12000041,Angus,Local Authority,2014,No,All,Adults,All,All,All,70.1,84.5,77.3
S12000045,East Dunbartonshire,Local Authority,2016,No,All,Adults,All,All,All,70.3,87.3,78.8
S12000029,South Lanarkshire,Local Authority,2014,No,All,Adults,All,All,All,72.8,83,77.9
S12000041,Angus,Local Authority,2012,No,All,Adults,All,All,All,64.2,79.1,71.7
S08000015,Ayrshire and Arran,NHS Health Board,2015,No,All,Adults,All,All,All,69.8,78,73.9
S08000017,Dumfries and Galloway,NHS Health Board,2017,No,All,Adults,All,All,All,64,78,71
S08000016,Borders,NHS Health Board,2015,No,All,Adults,All,All,All,69.7,84.6,77.1
S08000025,Orkney,NHS Health Board,2015,No,All,Adults,All,All,All,63.9,82.1,73
S12000008,East Ayrshire,Local Authority,2016,No,All,Adults,All,All,All,72.3,86.5,79.4
S12000029,South Lanarkshire,Local Authority,2016,No,All,Adults,All,All,All,73.9,83.7,78.8
S08000031,Greater Glasgow and Clyde,NHS Health Board,2016,No,All,Adults,All,All,All,73.6,78.3,75.9
S12000047,Fife,Local Authority,2012,No,All,Adults,All,All,All,65.4,74.9,70.1
S08000020,Grampian,NHS Health Board,2015,No,All,Adults,All,All,All,72.6,79.2,75.9
S12000028,South Ayrshire,Local Authority,2013,No,All,Adults,All,All,All,67.4,84.8,76.1
S08000017,Dumfries and Galloway,NHS Health Board,2015,No,All,Adults,All,All,All,64.8,77.9,71.3
S12000040,West Lothian,Local Authority,2015,No,All,Adults,All,All,All,69.2,85.2,77.2
S08000015,Ayrshire and Arran,NHS Health Board,2019,Yes,All,Adults,All,All,All,16,23.3,19.7
S12000050,North Lanarkshire,Local Authority,2016,No,All,Adults,All,All,All,71.8,81.8,76.8
S12000036,City of Edinburgh,Local Authority,2014,No,All,Adults,All,All,All,75.9,82.8,79.3
S12000041,Angus,Local Authority,2015,No,All,Adults,All,All,All,67.8,83.9,75.9
S08000020,Grampian,NHS Health Board,2016,No,All,Adults,All,All,All,75,82.1,78.6
S12000006,Dumfries and Galloway,Local Authority,2015,No,All,Adults,All,All,All,64.8,77.9,71.3
S12000023,Orkney Islands,Local Authority,2015,No,All,Adults,All,All,All,63.9,82.1,73
S12000017,Highland,Local Authority,2013,No,All,Adults,All,All,All,71.2,82.8,77
S12000045,East Dunbartonshire,Local Authority,2014,No,All,Adults,All,All,All,81.3,93.6,87.5
S12000023,Orkney Islands,Local Authority,2014,No,All,Adults,All,All,All,72.8,88.4,80.6
S12000045,East Dunbartonshire,Local Authority,2017,No,All,Adults,All,All,All,79.6,91.7,85.7
S12000048,Perth and Kinross,Local Authority,2012,No,All,Adults,All,All,All,69,83.9,76.5
S12000030,Stirling,Local Authority,2016,No,All,Adults,All,All,All,74.3,88.2,81.2
S08000030,Tayside,NHS Health Board,2017,No,All,Adults,All,All,All,75.5,83.2,79.3
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,No,All,Adults,All,All,All,71.1,76,73.6
S12000008,East Ayrshire,Local Authority,2018,No,All,All,All,Limiting condition,All,65.5,80.6,73
S08000016,Borders,NHS Health Board,2018,Yes,All,All,All,Limiting condition,All,17.4,36.2,26.8
S12000049,Glasgow City,Local Authority,2018,No,All,All,All,Limiting condition,All,64.7,73.6,69.2
S12000005,Clackmannanshire,Local Authority,2018,No,All,All,All,Limiting condition,All,66.1,85,75.5
S08000026,Shetland,NHS Health Board,2013,Yes,All,All,All,Limiting condition,All,13.7,32.9,23.3
S12000050,North Lanarkshire,Local Authority,2018,No,All,All,All,Limiting condition,All,68.5,80.3,74.4
S12000035,Argyll and Bute,Local Authority,2018,Yes,All,All,All,Limiting condition,All,13.1,28.7,20.9
S12000011,East Renfrewshire,Local Authority,2019,No,All,All,All,Limiting condition,All,71.6,93.4,82.5
S12000019,Midlothian,Local Authority,2016,Yes,All,All,All,Limiting condition,All,11.1,29.6,20.3
S12000008,East Ayrshire,Local Authority,2017,Yes,All,All,All,Limiting condition,All,20.5,39.4,30
S12000017,Highland,Local Authority,2019,No,All,All,All,Limiting condition,All,68.8,83.2,76
S08000025,Orkney,NHS Health Board,2019,No,All,All,All,Limiting condition,All,79.1,99.2,89.1
S12000021,North Ayrshire,Local Authority,2015,Yes,All,All,All,Limiting condition,All,22,37.3,29.7
S12000038,Renfrewshire,Local Authority,2018,No,All,All,All,Limiting condition,All,68.6,83.3,76
S12000049,Glasgow City,Local Authority,2013,No,All,All,All,Limiting condition,All,57.5,66.4,62
S12000005,Clackmannanshire,Local Authority,2015,No,All,All,All,Limiting condition,All,50.4,79.9,65.1
S08000016,Borders,NHS Health Board,2014,Yes,All,All,All,Limiting condition,All,14.8,31.5,23.1
S12000026,Scottish Borders,Local Authority,2015,Yes,All,All,All,Limiting condition,All,16.5,36.2,26.3
S12000038,Renfrewshire,Local Authority,2017,Yes,All,All,All,Limiting condition,All,19.7,37.4,28.5
S12000006,Dumfries and Galloway,Local Authority,2019,No,All,All,All,Limiting condition,All,69.1,82.6,75.8
S12000026,Scottish Borders,Local Authority,2018,No,All,All,All,Limiting condition,All,63.8,82.6,73.2
S12000023,Orkney Islands,Local Authority,2015,Yes,All,All,All,Limiting condition,All,8.4,31.2,19.8
S12000006,Dumfries and Galloway,Local Authority,2013,No,All,All,All,Limiting condition,All,72.3,85.5,78.9
S08000015,Ayrshire and Arran,NHS Health Board,2018,Yes,All,All,All,Limiting condition,All,21.6,30.8,26.2
S12000029,South Lanarkshire,Local Authority,2018,No,All,All,All,Limiting condition,All,68.1,79.6,73.9
S12000020,Moray,Local Authority,2016,Yes,All,All,All,Limiting condition,All,20.8,40.3,30.5
S12000042,Dundee City,Local Authority,2015,Yes,All,All,All,No limiting condition,All,16.5,27.3,21.9
S08000025,Orkney,NHS Health Board,2015,Yes,All,All,All,No limiting condition,All,10.2,21.8,16
S08000032,Lanarkshire,NHS Health Board,2015,Yes,All,All,All,No limiting condition,All,16.4,21.3,18.9
S12000008,East Ayrshire,Local Authority,2014,Yes,All,All,All,No limiting condition,All,15.2,25,20.1
S12000035,Argyll and Bute,Local Authority,2013,Yes,All,All,All,No limiting condition,All,19.7,35.6,27.6
S12000042,Dundee City,Local Authority,2017,Yes,All,All,All,No limiting condition,All,11.5,20.7,16.1
S12000047,Fife,Local Authority,2017,Yes,All,All,All,No limiting condition,All,13.1,19.9,16.5
S12000005,Clackmannanshire,Local Authority,2012,Yes,All,All,All,No limiting condition,All,16.7,27.6,22.1
S12000023,Orkney Islands,Local Authority,2013,Yes,All,All,All,No limiting condition,All,13.4,28.7,21
S12000014,Falkirk,Local Authority,2012,Yes,All,All,All,No limiting condition,All,15.2,23.7,19.4
S12000005,Clackmannanshire,Local Authority,2014,Yes,All,All,All,No limiting condition,All,21.7,35.9,28.8
S08000031,Greater Glasgow and Clyde,NHS Health Board,2015,Yes,All,All,All,No limiting condition,All,18.4,21.8,20.1
S92000003,Scotland,Scotland,2014,Yes,All,All,All,No limiting condition,All,18.4,20.1,19.2
S12000028,South Ayrshire,Local Authority,2013,Yes,All,All,All,No limiting condition,All,15.5,27.3,21.4
S12000014,Falkirk,Local Authority,2014,Yes,All,All,All,No limiting condition,All,17.7,27.1,22.4
S92000003,Scotland,Scotland,2018,No,All,All,All,Limiting condition,All,73.8,76.6,75.2
S12000040,West Lothian,Local Authority,2018,No,All,All,All,Limiting condition,All,70.2,86.5,78.3
S12000006,Dumfries and Galloway,Local Authority,2015,No,All,All,All,Limiting condition,All,67.5,80.3,73.9
S08000016,Borders,NHS Health Board,2017,No,All,All,All,Limiting condition,All,60,84,72
S12000010,East Lothian,Local Authority,2014,Yes,All,All,All,Limiting condition,All,16.3,39.9,28.1
S12000041,Angus,Local Authority,2012,Yes,All,All,All,Limiting condition,All,19.3,35.5,27.4
S08000022,Highland,NHS Health Board,2016,No,All,All,All,No limiting condition,All,82,88.2,85.1
S12000047,Fife,Local Authority,2013,No,All,All,All,No limiting condition,All,75.9,82.3,79.1
S08000024,Lothian,NHS Health Board,2016,No,All,All,All,No limiting condition,All,80.7,84.5,82.6
S12000036,City of Edinburgh,Local Authority,2012,No,All,All,All,No limiting condition,All,78,83.7,80.8
S08000022,Highland,NHS Health Board,2012,No,All,All,All,No limiting condition,All,74.4,81,77.7
S12000035,Argyll and Bute,Local Authority,2015,No,All,All,All,No limiting condition,All,76,85.6,80.8
S12000036,City of Edinburgh,Local Authority,2015,No,All,All,All,No limiting condition,All,82.5,87.4,85
S08000029,Fife,NHS Health Board,2019,No,All,All,All,No limiting condition,All,79.7,86.6,83.2
S08000025,Orkney,NHS Health Board,2015,Yes,All,All,All,Limiting condition,All,8.4,31.2,19.8
S12000006,Dumfries and Galloway,Local Authority,2013,Yes,All,All,All,Limiting condition,All,14.5,27.7,21.1
S12000048,Perth and Kinross,Local Authority,2013,Yes,All,All,All,Limiting condition,All,11.2,27.5,19.3
S12000040,West Lothian,Local Authority,2015,No,All,All,All,No limiting condition,All,76.9,86.4,81.7
S12000010,East Lothian,Local Authority,2012,Yes,All,All,All,Limiting condition,All,12.4,40.1,26.3
S08000029,Fife,NHS Health Board,2018,No,All,All,All,Limiting condition,All,65.1,76.3,70.7
S12000040,West Lothian,Local Authority,2017,No,All,All,All,Limiting condition,All,52.5,74.5,63.5
S08000022,Highland,NHS Health Board,2013,Yes,All,All,All,Limiting condition,All,17.1,29,23
S12000034,Aberdeenshire,Local Authority,2015,No,All,All,All,No limiting condition,All,79.8,86.7,83.2
S12000042,Dundee City,Local Authority,2017,No,All,All,All,No limiting condition,All,79.3,88.5,83.9
S08000032,Lanarkshire,NHS Health Board,2013,No,All,All,All,No limiting condition,All,72.7,78.1,75.4
S12000017,Highland,Local Authority,2018,No,All,All,All,Limiting condition,All,69.9,83.9,76.9
S12000014,Falkirk,Local Authority,2019,No,All,All,All,Limiting condition,All,71,85,78
S08000024,Lothian,NHS Health Board,2017,Yes,All,All,All,Limiting condition,All,23.5,32.4,27.9
S12000030,Stirling,Local Authority,2014,No,All,All,All,No limiting condition,All,80.8,89,84.9
S12000017,Highland,Local Authority,2015,No,All,All,All,No limiting condition,All,74.7,83.4,79
S12000045,East Dunbartonshire,Local Authority,2012,No,All,All,All,No limiting condition,All,84.8,92.4,88.6
S12000005,Clackmannanshire,Local Authority,2014,No,All,All,All,No limiting condition,All,64.1,78.3,71.2
S12000006,Dumfries and Galloway,Local Authority,2014,No,All,All,All,No limiting condition,All,71.5,80.9,76.2
S12000050,North Lanarkshire,Local Authority,2012,No,All,All,All,No limiting condition,All,68.9,77,72.9
S12000047,Fife,Local Authority,2016,No,All,All,All,No limiting condition,All,77.3,84,80.7
S08000026,Shetland,NHS Health Board,2015,Yes,All,All,All,Limiting condition,All,9.2,38,23.6
S08000029,Fife,NHS Health Board,2016,No,All,All,All,No limiting condition,All,77.3,84,80.7
S12000018,Inverclyde,Local Authority,2015,No,All,All,All,No limiting condition,All,72.1,83.4,77.8
S12000008,East Ayrshire,Local Authority,2015,No,All,All,All,No limiting condition,All,74.7,85.3,80
S12000047,Fife,Local Authority,2012,No,All,All,All,No limiting condition,All,75.5,82,78.8
S12000041,Angus,Local Authority,2015,No,All,All,All,No limiting condition,All,79,88.8,83.9
S08000024,Lothian,NHS Health Board,2017,No,All,All,All,No limiting condition,All,83.9,87.5,85.7
S12000033,Aberdeen City,Local Authority,2015,No,All,All,All,No limiting condition,All,76.3,83.5,79.9
S12000011,East Renfrewshire,Local Authority,2015,No,All,All,All,No limiting condition,All,86.2,94.3,90.2
S12000006,Dumfries and Galloway,Local Authority,2015,No,All,All,All,No limiting condition,All,73.3,82.5,77.9
S12000005,Clackmannanshire,Local Authority,2013,Yes,All,All,All,No limiting condition,All,14.3,27,20.7
S08000019,Forth Valley,NHS Health Board,2016,Yes,All,All,All,Limiting condition,All,20.8,32.5,26.7
S08000019,Forth Valley,NHS Health Board,2013,Yes,All,All,All,Limiting condition,All,19.7,30.6,25.1
S08000029,Fife,NHS Health Board,2018,Yes,All,All,All,No limiting condition,All,11.1,17.4,14.3
S12000005,Clackmannanshire,Local Authority,2015,Yes,All,All,All,Limiting condition,All,20.2,49.6,34.9
S08000032,Lanarkshire,NHS Health Board,2015,No,All,All,All,Limiting condition,All,65.9,74.3,70.1
S12000013,Na h-Eileanan Siar,Local Authority,2015,Yes,All,All,All,Limiting condition,All,12.4,31.6,22
S12000036,City of Edinburgh,Local Authority,2013,Yes,All,All,All,No limiting condition,All,14.9,19.8,17.4
S12000035,Argyll and Bute,Local Authority,2014,Yes,All,All,All,No limiting condition,All,11.9,23.8,17.8
S12000026,Scottish Borders,Local Authority,2015,Yes,All,All,All,No limiting condition,All,11,20.3,15.6
S12000038,Renfrewshire,Local Authority,2013,Yes,All,All,All,No limiting condition,All,15.2,24.8,20
S12000027,Shetland Islands,Local Authority,2012,Yes,All,All,All,No limiting condition,All,14.3,26.3,20.3
S12000006,Dumfries and Galloway,Local Authority,2012,Yes,All,All,All,No limiting condition,All,20,28.7,24.4
S12000035,Argyll and Bute,Local Authority,2018,No,All,All,All,No limiting condition,All,80.6,90.1,85.4
S12000030,Stirling,Local Authority,2014,Yes,All,All,All,No limiting condition,All,11,19.2,15.1
S08000031,Greater Glasgow and Clyde,NHS Health Board,2012,Yes,All,All,All,No limiting condition,All,20.5,24.3,22.4
S12000045,East Dunbartonshire,Local Authority,2014,Yes,All,All,All,No limiting condition,All,5.8,13,9.4
S08000032,Lanarkshire,NHS Health Board,2017,Yes,All,All,All,No limiting condition,All,15.3,20.1,17.7
S12000008,East Ayrshire,Local Authority,2012,Yes,All,All,All,No limiting condition,All,18.1,30.5,24.3
S12000011,East Renfrewshire,Local Authority,2018,No,All,All,All,No limiting condition,All,86.1,93.2,89.7
S08000020,Grampian,NHS Health Board,2015,Yes,All,All,All,Limiting condition,All,19.9,29.2,24.6
S12000040,West Lothian,Local Authority,2012,No,All,All,All,Limiting condition,All,64.4,82.3,73.4
S08000030,Tayside,NHS Health Board,2015,Yes,All,All,All,Limiting condition,All,18.9,29.1,24
S12000023,Orkney Islands,Local Authority,2012,Yes,All,All,All,Limiting condition,All,16.8,35,25.9
S08000015,Ayrshire and Arran,NHS Health Board,2014,Yes,All,All,All,Limiting condition,All,25.1,34.1,29.6
S08000016,Borders,NHS Health Board,2015,Yes,All,All,All,Limiting condition,All,16.5,36.2,26.3
S12000010,East Lothian,Local Authority,2018,No,All,All,All,Limiting condition,All,72.8,89.2,81
S12000039,West Dunbartonshire,Local Authority,2012,No,All,All,All,Limiting condition,All,56.6,75.8,66.2
S12000008,East Ayrshire,Local Authority,2012,Yes,All,All,All,Limiting condition,All,28,46.2,37.1
S12000010,East Lothian,Local Authority,2015,Yes,All,All,All,Limiting condition,All,13.5,32.9,23.2
S08000024,Lothian,NHS Health Board,2014,Yes,All,All,All,Limiting condition,All,25.1,33.6,29.4
S12000008,East Ayrshire,Local Authority,2019,No,All,All,All,Limiting condition,All,70.1,84,77.1
S12000042,Dundee City,Local Authority,2012,No,All,All,All,Limiting condition,All,54.8,71.8,63.3
S08000028,Western Isles,NHS Health Board,2019,No,All,All,All,Limiting condition,All,67,90.5,78.7
S12000036,City of Edinburgh,Local Authority,2018,No,All,All,All,Limiting condition,All,69.8,80.5,75.1
S12000019,Midlothian,Local Authority,2018,No,All,All,All,Limiting condition,All,72.9,87.7,80.3
S08000028,Western Isles,NHS Health Board,2015,Yes,All,All,All,Limiting condition,All,12.4,31.6,22
S08000028,Western Isles,NHS Health Board,2013,Yes,All,All,All,Limiting condition,All,22.2,42.3,32.2
S12000040,West Lothian,Local Authority,2014,Yes,All,All,All,No limiting condition,All,12.1,23.6,17.9
S08000026,Shetland,NHS Health Board,2018,Yes,All,All,All,No limiting condition,All,3.2,9.8,6.5
S12000045,East Dunbartonshire,Local Authority,2015,Yes,All,All,All,No limiting condition,All,10.6,21.1,15.8
S12000048,Perth and Kinross,Local Authority,2016,No,All,All,All,Limiting condition,All,68.1,84.7,76.4
S12000027,Shetland Islands,Local Authority,2014,Yes,All,All,All,No limiting condition,All,12.2,25.7,18.9
S08000031,Greater Glasgow and Clyde,NHS Health Board,2014,Yes,All,All,All,No limiting condition,All,17.6,21.1,19.4
S12000026,Scottish Borders,Local Authority,2014,Yes,All,All,All,No limiting condition,All,10.8,19.2,15
S12000030,Stirling,Local Authority,2013,Yes,All,All,All,No limiting condition,All,13.2,23.4,18.3
S08000032,Lanarkshire,NHS Health Board,2013,Yes,All,All,All,No limiting condition,All,21.8,27.3,24.5
S12000033,Aberdeen City,Local Authority,2017,Yes,All,All,All,No limiting condition,All,12.8,19,15.9
S08000029,Fife,NHS Health Board,2012,Yes,All,All,All,No limiting condition,All,17.9,24.4,21.1
S12000045,East Dunbartonshire,Local Authority,2018,No,All,All,All,No limiting condition,All,89.8,95.7,92.7
S92000003,Scotland,Scotland,2013,Yes,All,All,All,No limiting condition,All,19.9,21.6,20.7
S12000036,City of Edinburgh,Local Authority,2014,Yes,All,All,All,No limiting condition,All,11.9,16.7,14.3
S12000041,Angus,Local Authority,2017,Yes,All,All,All,No limiting condition,All,12.2,22.3,17.3
S12000013,Na h-Eileanan Siar,Local Authority,2012,Yes,All,All,All,No limiting condition,All,15.7,27.5,21.6
S08000032,Lanarkshire,NHS Health Board,2014,Yes,All,All,All,No limiting condition,All,17.9,23,20.4
S08000031,Greater Glasgow and Clyde,NHS Health Board,2018,Yes,All,All,All,No limiting condition,All,14.3,17.5,15.9
S12000039,West Dunbartonshire,Local Authority,2014,Yes,All,All,All,No limiting condition,All,16.6,26.2,21.4
S12000033,Aberdeen City,Local Authority,2014,Yes,All,All,All,No limiting condition,All,18.2,26.3,22.3
S08000026,Shetland,NHS Health Board,2013,Yes,All,All,All,No limiting condition,All,9.9,24.6,17.3
